record_id,record_type,name,publisher_or_owner,listing_id_or_source,cost_personal_usd,status,assigned_site,planned_quantity_or_coverage,nanite_initial,collision,replication,validation_required,notes
ABV_ASSET_001,3D Plant,Field Poppy,Quixel Megascans,66cb2706-bc30-4f26-92ec-cad48723bd4a,0.00,acquired_on_disk,SS_025,"4-6 irregular belts; final instance count after bounds audit",off,off,off,"bounds;pivot;LOD;material cost;standing-crouched-prone scale","High-quality FBX acquired; Launcher reports 41.43 MB on disk; primary red flower clump; cosmetic concealment only"
ABV_ASSET_002,3D Plant,Wild Grass,Quixel Megascans,50d9a417-73ed-4132-9421-6be3d4f7432e,0.00,acquired_on_disk,SS_022;SS_025,"main meadow filler; final count after performance audit",off,off,off,"bounds;pivot;LOD;material cost;wind cost","High-quality FBX acquired; Launcher reports 49.31 MB on disk; selected greener Wild Grass listing"
ABV_ASSET_003,3D Plant,Dry Grass,Already owned,FAB_P1A_015_tbbqejqr,0.00,reuse,SS_022;SS_024,"field edges; ditch lips; ruined interiors",off,off,off,"reuse existing validated meshes and LODs","Do not reacquire or recreate"
ABV_ASSET_004,Landscape Surface,Wild Grass Ground,Quixel Megascans,1a4cd0a2-cc9d-4ddf-95e1-6334c5cedb84,0.00,acquired_on_disk,SS_022;SS_025,45-60 percent landscape coverage,n/a,n/a,n/a,"4K source audit; runtime 2K/VT test; macro tiling test","4K texture set acquired; Launcher reports 169.75 MB on disk; muted meadow base; blend with soil and existing sandstone"
ABV_ASSET_005,Landscape Surface,Dry Trampled Soil,Quixel Megascans,e9c8521d-0d32-46ee-8607-bca13605159a,0.00,acquired_on_disk,SS_021;SS_022;SS_023;SS_024,20-30 percent landscape coverage,n/a,n/a,n/a,"color match; displacement policy; route readability","4K texture set acquired; Launcher reports 89.45 MB on disk; primary heritage paths and disturbed ground"
ABV_ASSET_006,Wall Surface,Cracked Mud Wall,Quixel Megascans,381158fe-ea68-465a-b21d-05de2ea06045,0.99,acquired_on_disk,SS_021;SS_022;SS_023,"majority of earthen ruin surfaces",n/a,n/a,n/a,"2K/4K runtime comparison;world-aligned blend","4K texture set verified in Epic managed Fab library; approximately 94.64 MiB on disk"
ABV_ASSET_007,Landscape Surface,Dry Soil Ground,Quixel Megascans,b2d078ca-1d33-45ff-aedf-37542b6d76cc,0.99,rejected_redundant,none,0,n/a,n/a,n/a,none,"Free Dry Trampled Soil plus owned ground materials cover this role"
ABV_ASSET_008,Structural Material,Historic Desert Ruin Wall Brick 03,Quixel Megascans,9d643c9c-b6f3-46ea-969b-702940ccc536,0.99,acquired_on_disk,SS_021;SS_022,"exposed masonry accent; exact coverage after material staging",n/a,n/a,n/a,"2K/4K runtime comparison;material staging","4K texture set verified in Epic managed Fab library; approximately 52.59 MiB on disk; 2x1m scan; do not use as the only wall material"
ABV_ASSET_009,Architectural Scan,Historic Desert Ruin Arch Stone Carved 08,Quixel Megascans,8b6404bf-1081-4a7d-ac19-36f46bfd76fc,2.99,acquired_on_disk,SS_021,1,on,simple,off,"verify 1.02x2.9x4.3m bounds;collision;portal composition","High-quality FBX with 4K textures verified in Epic managed Fab library; approximately 95.38 MiB on disk; ceremonial sealed or partially blocked portal; not gameplay doorway"
ABV_ASSET_010,Architectural Scan,Historic Desert Ruin Wall Modular Set 04,Quixel Megascans,038f4719-7bd1-479f-94c1-ed7a191fff84,2.99,acquired_on_disk,SS_021;SS_022,4-6,on,simple,off,"verify 3.23x3.26x0.7m bounds;collision","High-quality FBX with 4K textures verified in Epic managed Fab library; approximately 113.40 MiB on disk; partially buried foundations"
ABV_ASSET_011,Architectural Scan,Historic Desert Ruin Structure Stone S 06,Quixel Megascans,0db909ab-188c-427b-a422-f69e49cc5b64,2.99,acquired_on_disk,SS_021,4,on,simple,off,"verify 0.34x1.44x0.4m bounds;collision;opening composition","High-quality FBX with 4K textures verified in Epic managed Fab library; approximately 81.80 MiB on disk; corrected replacement for the previously misidentified Wall Modular Set 06; small intact/damaged pierced openings"
