record_id,listing_name,publisher,package_kind,status,local_source,bytes,dimensions_m,tier1_tris,files,remaining_gate
FAB_P0_003,Military Trenches Barrier Sandbag Canvas Worn,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_barrier_sandbag_canvas_worn_ydxlcck_high.zip,25035032,3.21m x 0.39m x 0.87m,,12,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_004,Military Trenches Barrier Sandbag Canvas Square 02,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_barrier_sandbag_canvas_square_02_ydznbff_high.zip,23276983,1.77m x 1.02m x 0.55m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_005,Military Trenches Wall Metal Corrugated 06,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_wall_metal_corrugated_06_ydxnbdns_high.zip,22621239,2.19m x 0.39m x 1.54m,,13,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_010,Weathered Concrete Wall,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/weathered_concrete_wall_vi4idbm_4k.zip,56075578,0.016 m,,10,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_011,Damaged Plaster Patch,Quixel Megascans,megascans_surface_or_decal_4k,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_4K_Textures/damaged_plaster_patch_vdekajsfw_4k.zip,60539874,0.017 m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_020,Military Trenches Storage Box Wood S,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/military_trenches_storage_box_wood_s_vlqjdfd_high.zip,14235362,0.26m x 0.25m x 0.13m,,13,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P0_021,Metal Water Tank,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/metal_water_tank_wdklears_high.zip,42238168,2.15m x 0.65m x 0.71m,,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_002,Electrical Box,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/electrical_box_tdgecegda_high.zip,40538056,0.38m x 0.43m x 0.26m,13549,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_003,Electric Box,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/electric_box_ullibjd_high.zip,49836994,1.02m x 0.24m x 0.98m,,12,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
FAB_P1A_004,Electrical Cabinet,Quixel Megascans,megascans_3d_high_fbx,downloaded_archive_metadata_verified,Assets/FabDownloads/Quixel_High_FBX/electrical_cabinet_ujzfde2_high.zip,46963307,2.62m x 0.87m x 1.39m,10024,11,"Import into UE 5.8 staging; verify bounds, pivot, material result, Nanite and collision before production placement"
