site_id,site_name,architecture_caps,tactical_cover,utilities,furniture_market,industrial_scrap,decals_signs,rubble_ground,vegetation,target_total,density,seed,hard_rule
SS_001,Attacker Spawn and Extraction,4,6,2,0,0,8,16,8,44,D1,41001,"Keep spawn envelope and first movement path clear"
SS_002,Dry Canal Entrance,8,4,6,0,0,10,32,28,88,D2,41002,"Preserve culvert clearance and canal center path"
SS_003,Canal Pump Station,12,2,22,0,4,12,16,8,76,D2,41003,"No pipe or equipment climb chain"
SS_004,Tea House,26,4,8,18,0,14,18,6,94,D2,41004,"Shade underside >=2.5 m; doors remain high contrast"
SS_005,Old Clinic,44,2,8,4,0,22,20,8,108,D1,41005,"Primary entrance and second-floor openings remain obvious"
SS_006,Water Tower Compound,34,8,16,0,0,12,28,12,110,D1,41006,"Preserve ladder platform and landmark silhouette"
SS_007,Municipal Hotel,66,2,14,6,0,30,28,10,156,D1,41007,"No decorative climb chain or new window sightline"
SS_008,Central Courtyard,10,10,4,6,0,20,42,24,116,D1,41008,"Keep 8-12 m central band open"
SS_009,Transit Plaza,8,8,8,4,0,20,30,12,90,D1,41009,"Maximum three cover clusters; preserve cross-route visibility"
SS_010,Detention Annex,50,18,10,2,0,24,28,10,142,D4,41010,"Preserve differentiated entrances and objective access"
SS_011,Checkpoint Office,26,16,14,0,2,14,14,4,90,D2,41011,"Vehicle gate remains 6-8 m clear"
SS_012,Consulate Residence,38,4,8,12,0,12,18,10,102,D2,41012,"No hidden compound sightline"
SS_013,Freight Depot,30,12,16,4,28,16,22,6,134,D2,41013,"Loading channel remains clear"
SS_014,Salvage Yard,44,28,8,0,76,18,52,16,242,D3,41014,"Vehicles and large scrap are manual tactical placements"
SS_015,Motor Pool,28,18,20,0,42,16,28,8,160,D2,41015,"Static vehicles cannot close bypass"
SS_016,Power Substation,26,6,38,0,12,20,24,10,136,D2,41016,"Equipment and fence collision cannot leak into routes"
SS_017,Covered Bazaar,58,10,10,60,8,28,28,8,210,D3,41017,"Preserve full central passage and enemy readability"
SS_018,Telecom Workshop,32,4,30,2,8,24,20,8,128,D2,41018,"Roof equipment remains non-traversable"
SS_019,South Defender Insertion,4,6,2,0,0,8,16,8,44,D1,41019,"Keep insertion envelope and first safe path clear"
SS_020,North Defender Insertion,18,10,2,0,0,10,24,16,80,D1,41020,"No overpowered firing position at spawn edge"
TOTAL,Old Town,566,178,246,118,180,338,504,220,2350,,,""
