record_id,catalog_id,decision,listing_name,listing_id,publisher,url,price_snapshot_usd,price_evidence,listed_dimensions,mesh_type,formats,nanite_plan,assigned_sites,fit_status,verification_state,notes
FAB_P0_001,PACK_001,Essential free source,Military Trench Megascans Sample,f18c343f-b771-47b0-a02a-129771fd9804,Quixel Megascans,https://www.fab.com/listings/f18c343f-b771-47b0-a02a-129771fd9804,0.00,Free listing confirmed 2026-07-24,Not stated at pack level,Mixed,Unreal Engine,Per selected mesh,"SS_001; SS_010; SS_011; SS_019; SS_020",Pack accepted; individual assets measured separately,Confirmed from listing,"Use staging project only; migrate selected assets rather than the sample map"
FAB_P0_002,PACK_002,Essential free source,City Sample Vehicles,2909157b-ddfa-4cef-a925-69dc2467021f,Epic Games,https://www.fab.com/listings/2909157b-ddfa-4cef-a925-69dc2467021f,0.00,Free listing confirmed 2026-07-24,13 vehicle set; individual dimensions not listed,Mixed static/driveable,Unreal Engine,Provisional yes for selected static render meshes,"SS_014; SS_015; optional SS_019",Pack accepted; exact vehicle bounds require staging,Confirmed except individual bounds,"Migrate static vehicle art and required materials only; exclude driving traffic Mass AI and Chaos systems"
FAB_P0_003,PROP_001,Essential free selection,Military Trenches Barrier Sandbag Canvas Worn,a5ad6a23-7e37-4b3c-ae91-063e8a4e0fd2,Quixel Megascans,https://www.fab.com/listings/a5ad6a23-7e37-4b3c-ae91-063e8a4e0fd2,0.00,Free listing confirmed 2026-07-24,0.39 x 3.21 x 0.87 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; custom simple collision,"SS_010; SS_011; SS_020",Excellent waist-cover fit at listed scale,Confirmed from listing,"Use manually in 4-6 piece fortified clusters; do not use scan mesh as collision"
FAB_P0_004,PROP_001,Essential free selection,Military Trenches Barrier Sandbag Canvas Square 02,1cc000de-5422-4ae9-8b54-ed0e53cdbb94,Quixel Megascans,https://www.fab.com/listings/1cc000de-5422-4ae9-8b54-ed0e53cdbb94,0.00,Free listing confirmed 2026-07-24,1.02 x 1.77 x 0.55 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; custom simple collision,"SS_010; SS_011; SS_020",Good low barrier and cluster end piece,Confirmed from listing,"Manual tactical placement; 0.55 m height is concealment/low cover rather than full standing cover"
FAB_P0_005,ARCH_009,Essential free selection,Military Trenches Wall Metal Corrugated 06,b303f5a1-42da-460c-a14c-4022f447f8dd,Quixel Megascans,https://www.fab.com/listings/b303f5a1-42da-460c-a14c-4022f447f8dd,0.00,Free listing confirmed 2026-07-24,0.39 x 2.19 x 1.54 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes,"SS_014; SS_017",Accepted as free patched fence/stall component,Confirmed from listing,"1.54 m is too low for the full salvage perimeter; combine with a 0.6-1.0 m base or use only partial panels"
FAB_P0_006,ARCH_009,Optional paid upgrade,Urban Shanty Town Sheet Metal Corrugated 03,df083ff1-8b87-4a38-86ff-b53c301a42fb,Quixel Megascans,https://www.fab.com/listings/df083ff1-8b87-4a38-86ff-b53c301a42fb,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.81 x 2.71 x 0.13 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes,"SS_014; SS_017",Excellent 2.71 m fence/stall panel fit,Confirmed except account price,"Preferred paid corrugated panel because it reaches the planned 2.0-2.6 m fence height without structural distortion"
FAB_P0_007,PROP_006,Optional paid upgrade,Urban Miscellaneous Crate Slatted Wood Medium 01,8962cc96-af93-40b5-ac5b-48e1e5784168,Quixel Megascans,https://www.fab.com/listings/8962cc96-af93-40b5-ac5b-48e1e5784168,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.69 x 1.30 x 0.29 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes,"SS_013; SS_014; SS_017",Accepted as stackable dressing; not standing cover alone,Confirmed except account price,"Use two- or three-piece stacks only where the graybox already permits cover or climbing"
FAB_P0_008,PROP_006,Optional paid upgrade,Urban Miscellaneous Plank Scaffold Wood Long 01,b52065e0-fe76-4346-9ecf-1e133d31b5f0,Quixel Megascans,https://www.fab.com/listings/b52065e0-fe76-4346-9ecf-1e133d31b5f0,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.23 x 3.90 x 0.04 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes but not necessary,"SS_014; SS_017",Excellent modular roof/stall span,Confirmed except account price,"Use as shade support or repair plank; never create an unintended traversal bridge"
FAB_P0_009,ARCH_008,Optional paid selection,Residential South Asian Door Wood Old,721d9be4-6c98-41e5-ad1f-6ba581d1e9f7,Quixel Megascans,https://www.fab.com/listings/721d9be4-6c98-41e5-ad1f-6ba581d1e9f7,2.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.93 x 0.99 x 2.36 m,Closed mesh,"FBX; GLTF; GLB; USDZ",No initially if used as an interactive door; provisional yes if static,"SS_004; later SS_012",Good fit for a 1.0-1.2 x 2.1-2.4 m doorway with minimal scale,Confirmed except account price,"Use at Tea House only in P0; cultural detail remains localized"
FAB_P0_010,SURF_004,Essential free selection,Weathered Concrete Wall,9485cd8b-02f5-42c0-9cfd-097b5b7b7f55,Quixel Megascans,https://www.fab.com/listings/9485cd8b-02f5-42c0-9cfd-097b5b7b7f55,0.00,Free listing confirmed 2026-07-24,2 x 1 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_002; SS_003; SS_009; SS_011; SS_015; SS_016",Accepted as free concrete base material,Confirmed from listing,"Use 2K runtime instances by default even if higher source resolution is available"
