site_id,site_name,zone,priority,center_x_m,center_y_m,footprint_w_m,footprint_d_m,height_m,gross_surface_or_ground_area_m2,asset_catalog_ids,structural_recipe,opening_recipe,tactical_prop_recipe,dressing_recipe,density,critical_constraint
SS_001,Attacker Spawn and Extraction,E,P1,-130,-99,20,18,0.2,360,"SURF_005; SURF_008; PROP_001","Road/ground blend across 20x18 m review pad","No architectural opening","2 barrier clusters; each 2-3 modules at 1.8-2.4x0.4-0.8x0.85-1.05 m","1 marking/sign group; 1 edge light or pole; 4-8 small debris instances",D1,"Keep spawn and first movement path completely clear"
SS_002,Dry Canal Entrance,G,P0,-126,-19,7,24,1.5,168,"SURF_004; SURF_006; PROP_004; NAT_001","4-6 concrete/silt segments spanning 4-6 m each; preserve 7x24 m channel","2 culvert/edge trims sized to existing 3-4 m clear openings","2 manual tactical rubble groups at 0.8-1.5 m footprints","10-16 small rubble pieces; 12-20 dry weeds outside center path",D2,"Preserve full culvert clearance and exposed bypass sightline"
SS_003,Canal Pump Station,G,P1,-106,-63,18,15,3.2,211,"SURF_004; PROP_003; PROP_004; DECAL_002","16-20 wall/trim modules at 2-4x3.2 m over 211 m2 gross wall skin","2 pedestrian doors at 1.0-1.2x2.1-2.4 m; 2-4 windows at 1.2-1.8x1.1-1.5 m","1 protected equipment cluster; no new hard cover","6-10 pipe/drain pieces; 2-4 electrical boxes; 4-8 stain decals",D2,"Pipes and boxes cannot form a climb path"
SS_004,Tea House,D,P0,-88,-29,18,16,3.2,218,"SURF_001; ARCH_008; PROP_008; PROP_010","16-18 plaster/trim modules at 2-4x3.2 m over 218 m2 gross wall skin","2 doors at verified openings; 4-6 windows/frames at 1.2-1.8x1.1-1.5 m","2-3 seating or crate groups placed on non-combat edge","1 shade assembly at 5-7x3-4 m with 2.5 m underside; 4-8 domestic props",D2,"Frames stay high contrast; shade remains above weapon view"
SS_005,Old Clinic,B,P1,-56,-1,24,19,6.4,550,"SURF_001; SURF_002; ARCH_007; DECAL_001","24-30 repeated facade modules over approximately 500-550 m2 wall coverage; 40-50 m parapet/roof trim","2 doors; 10-14 windows bound to existing openings","1 manual cover group at approved exterior edge","8-12 concentrated damage decals; 2-4 utility details",D1,"Primary entrance and second-floor combat openings remain obvious"
SS_006,Water Tower Compound,C,P0,-62,45,16,16,15,256,"ARCH_004; SURF_003; PROP_004; DECAL_002","Hero tower 12-15 m high; tank 5-7 m diameter; platform 5-6 m; 40-55 m compound wall","1 compound gate at existing opening; preserve ladder and platform access","2 compound-edge cover groups matching existing cover","4-6 pipe/utility pieces; 3-6 stain/rust decals; sparse rubble",D1,"Preserve accessible platform ladder and landmark silhouette"
SS_007,Municipal Hotel,B,P0,-14,27,28,22,9.6,960,"SURF_001; ARCH_006; ARCH_007; DECAL_001","30-40 facade modules over approximately 850-960 m2 coverage; 12-18 m balcony; 50-65 m parapet","3 doors; 18-24 windows bound to existing openings","Only verified exterior cover; no decorative climb chain","12-18 concentrated damage/repair decals; 4-8 utility or sign details",D1,"Hotel windows may watch only intended route portions"
SS_008,Central Courtyard,B,P0,-18,-31,34,28,0.2,952,"SURF_003; SURF_005; NAT_001; DECAL_003","Two-surface ground blend across 34x28 m; retain a clear 8-12 m central movement/sightline band","Bind surrounding entries; no freestanding opening","3-5 edge cover clusters only where graybox cover exists","6-8 edge prop clusters; one 3-5 m visual focus; 8-12 ground breakup decals",D1,"Keep center open and objective routes unblocked"
SS_009,Transit Plaza,B,P1,6,-5,32,26,0.2,832,"SURF_004; SURF_008; PROP_005; DECAL_003","Concrete/paver/road blend across 32x26 m","Bind all existing route mouths and building entries","3 manual cover clusters maximum","2-4 lamps outside travel paths; 6-10 edge props; 6-10 ground decals",D1,"Preserve cross-route visibility; no safe cover chain"
SS_010,Detention Annex,A,P0,22,91,34,28,6.4,794,"SURF_001; ARCH_001; ARCH_002; PROP_001","28-36 civic facade modules over approximately 700-794 m2 coverage; 25-35 m historic perimeter accent; 45-60 m parapet","3 differentiated doors; 10-14 windows bound to existing openings","2 fortified clusters with 4-6 sandbag elements each","8-12 damage/repair decals; 2-4 lights or utility boxes",D4,"Preserve differentiated objective entrances and extraction access"
SS_011,Checkpoint Office,C,P1,74,51,20,17,6.4,474,"SURF_004; PROP_001; PROP_003; PROP_005","20-24 facade modules over approximately 430-474 m2 coverage; practical concrete/metal cap","2 doors; 6-8 windows bound to existing openings","2-3 barrier modules; 1 sandbag cluster; preserve 6-8 m vehicle gate","1 lamp; 2-4 boxes; 4-6 grime decals",D2,"Manual barrier placement only; gate remains fully traversable"
SS_012,Consulate Residence,C,P1,118,49,21,18,6.4,499,"SURF_001; ARCH_008; PROP_009; DECAL_001","20-26 plaster/trim modules over approximately 450-499 m2; 25-35 m perimeter fence/wall","2 doors; 8-10 wood-framed windows at existing openings","Existing compound cover only","4-8 residential props; 4-6 restrained damage decals",D2,"Cleaner treatment cannot introduce privileged hidden sightlines"
SS_013,Freight Depot,F,P1,108,1,30,24,4.2,454,"SURF_007; ARCH_009; PROP_006; DECAL_002","22-28 brick/metal facade modules over approximately 420-454 m2; loading-edge trim","1 loading opening at 4-5x3.5-4.2 m; 1-2 pedestrian doors","2-3 existing loading-cover positions dressed with crates or pallets","4-6 crate/pallet groups; 4-8 utility and grime details",D2,"Loading props remain outside verified traversal channel"
