order,record_id,listing_name,listing_id,publisher,planned_price_usd,verified_library_status,observed_note
1,FAB_P0_001,Military Trench Megascans Sample,f18c343f-b771-47b0-a02a-129771fd9804,Quixel Megascans,0,added_to_library,
2,FAB_P0_002,City Sample Vehicles,2909157b-ddfa-4cef-a925-69dc2467021f,Epic Games,0,added_to_library,
3,FAB_P1A_001,Junkyard,a984aac1-d20f-4232-8ce8-212e1695aaf6,Quixel Megascans,0,added_to_library,
4,FAB_P0_003,Military Trenches Barrier Sandbag Canvas Worn,a5ad6a23-7e37-4b3c-ae91-063e8a4e0fd2,Quixel Megascans,0,added_to_library,
5,FAB_P0_004,Military Trenches Barrier Sandbag Canvas Square 02,1cc000de-5422-4ae9-8b54-ed0e53cdbb94,Quixel Megascans,0,added_to_library,
6,FAB_P0_005,Military Trenches Wall Metal Corrugated 06,b303f5a1-42da-460c-a14c-4022f447f8dd,Quixel Megascans,0,added_to_library,
7,FAB_P0_020,Military Trenches Storage Box Wood S,435cdebc-39e3-459b-80e6-9b949b98de39,Quixel Megascans,0,added_to_library,
8,FAB_P0_010,Weathered Concrete Wall,9485cd8b-02f5-42c0-9cfd-097b5b7b7f55,Quixel Megascans,0,added_to_library,
9,FAB_P0_011,Damaged Plaster Patch,261cf6b0-2810-4482-9c90-a0a175c7815f,Quixel Megascans,0,added_to_library,
10,FAB_P1B_015,Wall Paint,cfdcd26b-db70-413c-aa5c-e71ca8e43a7a,Quixel Megascans,0,added_to_library,
11,FAB_P1B_016,Stucco Wall,e2f69285-c695-4aa8-851c-1b6492b79b74,Quixel Megascans,0,added_to_library,
12,FAB_P1B_017,Flaked Paint Wall,42731ac6-bc7e-4855-9c91-b1b73e2cc0fc,Quixel Megascans,0,added_to_library,
13,FAB_P1B_011,Asphalt Fresh,d656c99c-e792-4880-b832-7835dd450395,Quixel Megascans,0,added_to_library,
14,FAB_P1B_012,Crushed Asphalt Ground,88e41c55-6675-4872-ab19-e5757899e549,Quixel Megascans,0,added_to_library,
15,FAB_P1B_013,Cracked Asphalt,3aab93f6-c82b-45c8-883f-04bec06d6915,Quixel Megascans,0,added_to_library,
16,FAB_P1B_014,Asphalt Debris Pack,00f021df-e2f7-45ba-b3df-5dd40f671fe6,Quixel Megascans,0,added_to_library,
17,FAB_P1A_011,Military Trenches Ground Patch Rock S 04,d8aded40-25c6-40ec-9d10-6e5e15053222,Quixel Megascans,0,added_to_library,
18,FAB_P1A_012,Military Trenches Debris Patch Rock Corner,9c255b4f-d759-4504-bb68-3371d657d23f,Quixel Megascans,0,added_to_library,
19,FAB_P1A_013,Sandstone Rocky Ground,d6c87516-52ea-40d0-a3e5-c1e52d4ad88f,Quixel Megascans,0,added_to_library,
20,FAB_P1A_014,Desert Western Rock Medium 08,11700737-077c-416b-a005-53d0b5e1e285,Quixel Megascans,0,added_to_library,
21,FAB_P1A_015,Dry Grass,472c99c7-2d67-4190-9ad4-3bb04cfc80f3,Quixel Megascans,0,added_to_library,
22,FAB_P1A_016,Dried Grass,1b83d08e-77fd-4885-9dce-32d8658b5559,Quixel Megascans,0,added_to_library,
23,FAB_P1A_017,Desert Debris,5502b77c-2ffa-40b6-9101-6010e062f09c,Quixel Megascans,0,added_to_library,
24,FAB_P1A_002,Electrical Box,70113afd-ffec-42ca-87eb-75b90e5b1962,Quixel Megascans,0,added_to_library,
25,FAB_P1A_003,Electric Box,ba988202-afd9-4a98-94d0-4c4b7644b51f,Quixel Megascans,0,added_to_library,
26,FAB_P1A_004,Electrical Cabinet,252bd8cb-2469-4e2f-9e39-5ddaf9324539,Quixel Megascans,0,added_to_library,
27,FAB_P1A_005,Round Drain Cover,16f36535-a188-4989-8d1c-5bb790290378,Quixel Megascans,0,added_to_library,
28,FAB_P1A_018,Rusty Metal Barrel,0e8e7e30-23e3-47ec-86a0-fc69ea0b8d65,Quixel Megascans,0,added_to_library,
29,FAB_P1A_019,Old Shovel,37895234-35a6-4998-9c80-0f1290f0c3e4,Quixel Megascans,0,added_to_library,
30,FAB_P0_021,Metal Water Tank,d5439ef4-1863-45d1-a441-7ead394a805e,Quixel Megascans,0,added_to_library,
31,FAB_P1B_001,Old Wooden Door,df0f97f7-8482-4a67-b31c-a4c9fb5db017,Quixel Megascans,0,added_to_library,
32,FAB_P1B_004,Garage Door,8d31d799-0d73-4786-9937-174b68facded,Quixel Megascans,0,added_to_library,
33,FAB_P1B_005,Tarp,c7d0f2e1-e22c-4025-86f3-480e0cb2aa14,Quixel Megascans,0,deferred_price_changed,"Fab now shows license prices from $0.99 to $9.99; not purchased"
34,FAB_P1B_006,Tarp,b2709451-71c6-4424-bb5a-457f5d912d9e,Quixel Megascans,0,deferred_price_changed,"Fab now shows license prices from $0.99 to $9.99; not purchased"
35,FAB_P1B_008,Old Metal Stool,468006bf-c2b0-4b3f-a88a-3aa793b04749,Quixel Megascans,0,added_to_library,
36,FAB_P1B_009,Wooden Table,d69f8adb-3357-4d67-bdde-1235045a8072,Quixel Megascans,0,added_to_library,
37,FAB_P1B_010,Wooden Bench,98dd22d3-e329-4e35-ae5c-11b46e51c0cd,Quixel Megascans,0,added_to_library,
38,FAB_SUP_001,Military Trenches Decal Metal Rust 01,4320f370-adab-4253-8662-927185e238fd,Quixel Megascans,0,added_to_library,
39,FAB_SUP_002,Mud Stain,d943a805-9e06-435c-9691-06890fc8cb12,Quixel Megascans,0,added_to_library,
40,FAB_SUP_003,Oil Stain,4b57dc17-0bdd-40d2-85b2-84fef6eedd0c,Quixel Megascans,0,added_to_library,
