site_id,site_name,exact_free_source_records,deferred_paid_source_records,map_owned_modules,planned_quantities_and_rules
SS_001,Attacker Spawn and Extraction,"FAB_P1B_011; FAB_P1B_012; FAB_P1B_013; FAB_P1B_014",None,"spawn marking; simple barriers","Two barrier clusters outside spawn envelope; 4-8 debris pieces at edges only"
SS_002,Dry Canal Entrance,"FAB_P0_010; FAB_P1A_011; FAB_P1A_012; FAB_P1A_013",FAB_P0_012,"canal shell; culvert trims","4-6 terrain/concrete segments; 10-16 rubble pieces; center path clear"
SS_003,Canal Pump Station,"FAB_P0_010; FAB_P1A_002; FAB_P1A_003; FAB_P1A_004; FAB_P1A_005; FAB_P0_021; FAB_P1B_001",FAB_P1A_006,"door collision; pipes; vents","Two doors; 2-4 windows; 2-4 boxes; one cabinet; 6-10 pipes/drains"
SS_004,Tea House,"FAB_P1B_001; FAB_P1B_005; FAB_P1B_006; FAB_P1B_008; FAB_P1B_009; FAB_P1B_010; FAB_P1B_015; FAB_P1B_016; FAB_P0_011",FAB_P0_009,"window frames; shade planes; poles; signs","One 5-7 x 3-4 m shade group; 2-3 furniture groups; two doors"
SS_005,Old Clinic,"FAB_P1B_015; FAB_P1B_016; FAB_P1B_017; FAB_P0_011; FAB_P1A_002",FAB_P0_013,"window frames; parapet trims; doors","Two doors; 10-14 windows; 8-12 concentrated damage patches"
SS_006,Water Tower Compound,"FAB_P0_021; FAB_P1A_011; FAB_P1A_012; FAB_P1A_014",FAB_P0_014,"hero tower; 5-7 m tank; platform; ladder; compound wall","One 12-15 m tower; 40-55 m wall; 4-6 utilities; sparse rubble"
SS_007,Municipal Hotel,"FAB_P1B_015; FAB_P1B_016; FAB_P1B_017; FAB_P0_011; FAB_P1A_002",FAB_P0_013,"window frames; doors; balcony; parapet; sign","Three doors; 18-24 windows; 12-18 damage/repair patches"
SS_008,Central Courtyard,"FAB_P1A_011; FAB_P1A_012; FAB_P1B_010",FAB_P0_012,"ground blend; visual focus; edge cover skins","Keep 8-12 m central band clear; 6-8 edge prop clusters only"
SS_009,Transit Plaza,"FAB_P0_010; FAB_P1B_011; FAB_P1B_012; FAB_P1B_013; FAB_P1A_005",None,"lamps; curb/paver geometry; signs","Maximum three cover clusters; 2-4 lamps outside travel paths"
SS_010,Detention Annex,"FAB_P0_003; FAB_P0_004; FAB_P0_011; FAB_P1B_015; FAB_P1B_016; FAB_P1B_017; FAB_P1A_002",FAB_P0_013; FAB_P0_014; FAB_P0_015,"civic shell; doors; windows; parapets","Three distinct entrances; 10-14 windows; two fortified sandbag clusters"
SS_011,Checkpoint Office,"FAB_P0_003; FAB_P0_004; FAB_P0_010; FAB_P1A_002; FAB_P1A_003; FAB_P1B_001",None,"vehicle barriers; gate; window frames; lamp","One sandbag cluster; 2-3 barriers; preserve 6-8 m vehicle gate"
SS_012,Consulate Residence,"FAB_P1B_002; FAB_P1B_010; FAB_P1B_015; FAB_P1B_016; FAB_P0_011",FAB_P0_009,"window frames; clean perimeter; doors","Two doors; 8-10 windows; 4-8 restrained residential props"
SS_013,Freight Depot,"FAB_P1A_001; FAB_P1A_018; FAB_P1A_019; FAB_P1B_004; FAB_P1A_002",FAB_P0_007; FAB_P1B_007,"loading opening; pedestrian doors; roof vent boxes","4-6 crate/pallet groups; 4-8 utilities; loading channel clear"
SS_014,Salvage Yard,"FAB_P0_002; FAB_P1A_001; FAB_P0_005; FAB_P1A_018; FAB_P1A_017; FAB_P1B_012; FAB_P1B_014",FAB_P0_006; FAB_P0_007; FAB_P0_008,"perimeter base; gates; tactical collision proxies","Three vehicles; 4-6 hard-cover scrap groups; 8-12 visual scrap clusters"
SS_015,Motor Pool,"FAB_P0_002; FAB_P1A_001; FAB_P0_010; FAB_P1A_018; FAB_P1A_019; FAB_P1B_004; FAB_P1B_012",FAB_P1A_006; FAB_P1B_007,"garage panels; pedestrian door; roof vent boxes","Two vehicles; two garage openings; 4-6 repair clusters"
SS_016,Power Substation,"FAB_P0_010; FAB_P1A_002; FAB_P1A_003; FAB_P1A_004; FAB_P1A_005",FAB_P1A_006,"fence; gates; conduit; control shell","6-10 equipment pieces; 4-6 pipes/cables; preserve service routes"
SS_017,Covered Bazaar,"FAB_P0_005; FAB_P0_020; FAB_P1B_004; FAB_P1B_005; FAB_P1B_006; FAB_P1B_008; FAB_P1B_009; FAB_P1A_017",FAB_P0_006; FAB_P0_007; FAB_P0_008,"stalls; shade planes; poles; shutters; signs","8-12 stalls; 4-6 shade panels; preserve full central passage"
SS_018,Telecom Workshop,"FAB_P1A_002; FAB_P1A_003; FAB_P0_021; FAB_P1B_001; FAB_P1B_017",FAB_P1A_006; FAB_P1B_007,"window frames; roof vent boxes; antenna silhouettes; pipes","3-5 roof pieces; 4-6 boxes/pipes; roof remains non-traversable"
SS_019,South Defender Insertion,"FAB_P1B_011; FAB_P1B_012; FAB_P1B_013; FAB_P1B_014",None,"spawn marking; barriers","Two edge barrier clusters; 4-8 debris pieces outside spawn envelope"
SS_020,North Defender Insertion,"FAB_P0_003; FAB_P0_004; FAB_P1A_011; FAB_P1A_012; FAB_P1A_014; FAB_P1A_015",FAB_P0_014,"historic edge wall; route mouth trim","One or two sandbag clusters outside protection; 4-8 rubble pieces"
