site_id,site_name,bom_id,role,asset_ref,planned_instances,source_state,validation_status,exclusion
SS_001,Attacker Spawn and Extraction,OT_ARCH_004,Fence bases panels and gates,map-owned://MOD_FENCE_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_ARCH_004,Fence bases panels and gates,map-owned://MOD_GATE_01,2,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_DECAL_003,Ground breakup and dust edges,source://FAB_P1B_013/cracked_asphalt_tjmgfelew_4k,4,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_DECAL_005,Spawn road and service markings,map-owned://OT_SPAWN_MARKING_01,4,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_GROUND_003,Asphalt fragment pack,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,16,downloaded_source_import_pending,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_TAC_001,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,6,existing_project_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_UTIL_009,Lamps poles and fixtures,map-owned://OT_FIXTURE_01,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_UTIL_009,Lamps poles and fixtures,map-owned://OT_LAMP_01,1,map_owned_definition,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_A,3,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
SS_001,Attacker Spawn and Extraction,OT_VEG_001,Dry grass,/Game/MilitaryTrench/Assets/3D/Plants/Urb_Street_Grass_Dry_01/StaticMeshes/SM_Urb_Street_Grass_Dry_01_B,3,staged_pack_asset,offline_resolved_ue_validation_required,"Preserve graybox gameplay, clearance and collision until validated"
