record_id,catalog_id,decision,listing_name,listing_id,publisher,url,price_snapshot_usd,price_evidence,listed_dimensions,mesh_type,formats,nanite_plan,assigned_sites,fit_status,verification_state,notes
FAB_P1B_001,ARCH_008,Essential free selection,Old Wooden Door,df0f97f7-8482-4a67-b31c-a4c9fb5db017,Quixel Megascans,https://www.fab.com/listings/df0f97f7-8482-4a67-b31c-a4c9fb5db017,0.00,Free listing confirmed 2026-07-24,0.16 x 1.20 x 2.43 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes if static,"SS_003; SS_004; SS_011; SS_015; SS_018",Excellent physical fit for 1.0-1.2 m openings; Western styling requires restrained placement,Confirmed from listing,"Use as a static closed leaf or visual skin; gameplay door collision and interaction remain map-owned"
FAB_P1B_002,ARCH_008,Free alternate held for visual review,Old Wooden Door,80e384cb-a50a-4721-8304-71903945ff69,Quixel Megascans,https://www.fab.com/listings/80e384cb-a50a-4721-8304-71903945ff69,0.00,Free listing confirmed 2026-07-24,0.09 x 1.41 x 2.33 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes if static,"SS_004; SS_012; SS_017",Good fit only for wider 1.4-1.5 m openings; Western styling may conflict,Confirmed from listing,"Import only if the first free door fails the Tea House or residence preview"
FAB_P1B_003,ARCH_008,Reject for first round,Old Wooden Door,c0ccff09-8fec-48e5-a419-d813d9f2a6e3,Quixel Megascans,https://www.fab.com/listings/c0ccff09-8fec-48e5-a419-d813d9f2a6e3,0.00,Free listing confirmed 2026-07-24,0.32 x 2.00 x 2.50 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes if static,None,Too wide and thick for planned pedestrian openings; strongly Western,Confirmed from listing,"Do not scale down aggressively; retain only as a future double-door reference"
FAB_P1B_004,SURF_007,Essential free selection,Garage Door,8d31d799-0d73-4786-9937-174b68facded,Quixel Megascans,https://www.fab.com/listings/8d31d799-0d73-4786-9937-174b68facded,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_013; SS_015; SS_017",Excellent galvanized shutter surface; not a structural door mesh,Confirmed from listing,"Apply to map-owned garage and bazaar shutter panels sized to verified openings"
FAB_P1B_005,PROP_010,Essential free material,Tarp,c7d0f2e1-e22c-4025-86f3-480e0cb2aa14,Quixel Megascans,https://www.fab.com/listings/c7d0f2e1-e22c-4025-86f3-480e0cb2aa14,0.00,Free category price confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_004; SS_017",Good neutral tarp surface for map-owned canopy planes,Confirmed from listing and Fab tarp category,"Create 3-5 x 2.5-4 m canopy panels with 2.5 m minimum underside; no cloth simulation in first pass"
FAB_P1B_006,PROP_010,Useful free alternate,Tarp,b2709451-71c6-4424-bb5a-457f5d912d9e,Quixel Megascans,https://www.fab.com/listings/b2709451-71c6-4424-bb5a-457f5d912d9e,0.00,Free category price confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_004; SS_017",Weathered alternate for controlled shade variation,Confirmed from listing and Fab tarp category,"Limit to 20-35 percent of shade panels so the bazaar remains legible rather than visually noisy"
FAB_P1B_007,PROP_004,Optional paid roof detail,Industrial Abandoned Factory Vent Air Metal Rusted 01,7d5730c4-d38f-4f52-83ab-2a178756a09f,Quixel Megascans,https://www.fab.com/listings/7d5730c4-d38f-4f52-83ab-2a178756a09f,2.99,Public Quixel collection price observed 2026-07-24; account confirmation required,0.20 x 0.71 x 1.00 m,Open mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; no collision,"SS_013; SS_015; SS_018",Good non-traversable roof vent at listed scale,Confirmed except account price,"Defer purchase; first pass uses map-owned vent boxes and the free Metal Water Tank"
FAB_P1B_008,PROP_008,Essential free selection,Old Metal Stool,468006bf-c2b0-4b3f-a88a-3aa793b04749,Quixel Megascans,https://www.fab.com/listings/468006bf-c2b0-4b3f-a88a-3aa793b04749,0.00,Free listing confirmed 2026-07-24,0.35 x 0.39 x 0.58 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Unnecessary,"SS_004; SS_017",Good small domestic/market seat,Confirmed from listing,"Use 2-4 instances total with simple or no collision based on reachability"
FAB_P1B_009,PROP_008,Essential free selection,Wooden Table,d69f8adb-3357-4d67-bdde-1235045a8072,Quixel Megascans,https://www.fab.com/listings/d69f8adb-3357-4d67-bdde-1235045a8072,0.00,Free listing confirmed 2026-07-24,0.53 x 0.93 x 0.65 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple box collision,"SS_004; SS_017",Good compact tea or vendor table; lower than tactical cover,Confirmed from listing,"Manual placement outside combat centerlines; do not build an unintended mantle path"
FAB_P1B_010,PROP_008,Essential free selection,Wooden Bench,98dd22d3-e329-4e35-ae5c-11b46e51c0cd,Quixel Megascans,https://www.fab.com/listings/98dd22d3-e329-4e35-ae5c-11b46e51c0cd,0.00,Free listing confirmed 2026-07-24,0.20 x 1.24 x 0.28 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Unnecessary,"SS_004; SS_008; SS_012",Useful rustic bench or low platform detail,Confirmed from listing,"Listed height is only 0.28 m; use as low dressing rather than seating-scale cover"
FAB_P1B_011,SURF_008,Essential free selection,Asphalt Fresh,d656c99c-e792-4880-b832-7835dd450395,Quixel Megascans,https://www.fab.com/listings/d656c99c-e792-4880-b832-7835dd450395,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_001; SS_009; SS_019",Clean base road material to be dust-tinted and blended,Confirmed from listing,"Use beneath dirt and crack blends; do not make Old Town roads read newly paved"
FAB_P1B_012,SURF_008,Essential free selection,Crushed Asphalt Ground,88e41c55-6675-4872-ab19-e5757899e549,Quixel Megascans,https://www.fab.com/listings/88e41c55-6675-4872-ab19-e5757899e549,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_001; SS_009; SS_014; SS_015; SS_019",Excellent worn road and industrial-yard blend,Confirmed from listing,"Primary Old Town asphalt variant; blend with sand and hardpan at every edge"
FAB_P1B_013,DECAL_003,Useful free selection,Cracked Asphalt,3aab93f6-c82b-45c8-883f-04bec06d6915,Quixel Megascans,https://www.fab.com/listings/3aab93f6-c82b-45c8-883f-04bec06d6915,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_001; SS_009; SS_015; SS_019",Useful secondary road breakup material,Confirmed from listing,"Use as masked patches rather than a uniform tiled layer"
FAB_P1B_014,NAT_001,Useful free selection,Asphalt Debris Pack,00f021df-e2f7-45ba-b3df-5dd40f671fe6,Quixel Megascans,https://www.fab.com/listings/00f021df-e2f7-45ba-b3df-5dd40f671fe6,0.00,Free listing confirmed 2026-07-24,0.14 x 0.16 x 0.04 m,Closed mesh pack,"FBX; GLTF; GLB; USDZ",Unnecessary; no collision,"SS_001; SS_009; SS_014; SS_015; SS_019",Good tiny road-edge fragments,Confirmed from listing,"Use sparse deterministic scatter outside spawn envelopes and movement centerlines"
FAB_P1B_015,SURF_001,Essential free selection,Wall Paint,cfdcd26b-db70-413c-aa5c-e71ca8e43a7a,Quixel Megascans,https://www.fab.com/listings/cfdcd26b-db70-413c-aa5c-e71ca8e43a7a,0.00,Free listing confirmed 2026-07-24,0.41 x 0.41 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_004; SS_005; SS_007; SS_010; SS_012",Good smooth base plaster/paint layer with tint control,Confirmed from listing,"Avoid visible repetition by combining macro tint and damage masks"
FAB_P1B_016,SURF_001,Essential free selection,Stucco Wall,e2f69285-c695-4aa8-851c-1b6492b79b74,Quixel Megascans,https://www.fab.com/listings/e2f69285-c695-4aa8-851c-1b6492b79b74,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_004; SS_005; SS_007; SS_010; SS_012",Excellent rough exterior plaster base,Confirmed from listing,"Primary warm off-white/sand facade material for civic and residential buildings"
FAB_P1B_017,SURF_001,Useful free alternate,Flaked Paint Wall,42731ac6-bc7e-4855-9c91-b1b73e2cc0fc,Quixel Megascans,https://www.fab.com/listings/42731ac6-bc7e-4855-9c91-b1b73e2cc0fc,0.00,Free listing confirmed 2026-07-24,2 x 2 m scan area,Surface material,"Texture set; GLTF",Not applicable,"SS_004; SS_005; SS_007; SS_010; SS_012; SS_018",Good localized weathered facade variant,Confirmed from listing,"Restrict to 10-20 percent of facade area and combine with Damaged Plaster Patch decals"
FAB_P1B_018,PROP_007,Reject as redundant,Metal Scrap,3bc878e0-0839-495b-a8de-9cf75b6fd244,Quixel Megascans,https://www.fab.com/listings/3bc878e0-0839-495b-a8de-9cf75b6fd244,0.00,Free listing confirmed 2026-07-24,0.25 x 0.25 m scan area,Atlas,"Texture set; GLTF",Not applicable,"SS_014; SS_015",Usable but redundant with free Junkyard and Desert Debris sources,Confirmed from listing,"Do not import in first round unless the Junkyard subset lacks small flat scrap"
