order,source_record_id,listing_name,listing_id,publisher,price_snapshot_usd,acquisition_tier,acquire_when,primary_roles
1,FAB_P0_001,Military Trench Megascans Sample,f18c343f-b771-47b0-a02a-129771fd9804,Quixel Megascans,0.00,Free core,Before staging,"barriers; military clutter source"
2,FAB_P0_002,City Sample Vehicles,2909157b-ddfa-4cef-a925-69dc2467021f,Epic Games,0.00,Free core,Before staging,"pickup; van/SUV; salvage vehicles"
3,FAB_P1A_001,Junkyard,a984aac1-d20f-4232-8ce8-212e1695aaf6,Quixel Megascans,0.00,Free core,Before staging,"salvage; repair parts; industrial clutter"
4,FAB_P0_003,Military Trenches Barrier Sandbag Canvas Worn,a5ad6a23-7e37-4b3c-ae91-063e8a4e0fd2,Quixel Megascans,0.00,Free core,Before tactical dressing,"standing cover sandbag"
5,FAB_P0_004,Military Trenches Barrier Sandbag Canvas Square 02,1cc000de-5422-4ae9-8b54-ed0e53cdbb94,Quixel Megascans,0.00,Free core,Before tactical dressing,"low sandbag cluster end"
6,FAB_P0_005,Military Trenches Wall Metal Corrugated 06,b303f5a1-42da-460c-a14c-4022f447f8dd,Quixel Megascans,0.00,Free core,Before structures,"patched fence; bazaar panel"
7,FAB_P0_020,Military Trenches Storage Box Wood S,435cdebc-39e3-459b-80e6-9b949b98de39,Quixel Megascans,0.00,Free secondary,Before dressing,"small military/market clutter"
8,FAB_P0_010,Weathered Concrete Wall,9485cd8b-02f5-42c0-9cfd-097b5b7b7f55,Quixel Megascans,0.00,Free core,Before materials,"concrete facade; canal; pads"
9,FAB_P0_011,Damaged Plaster Patch,261cf6b0-2810-4482-9c90-a0a175c7815f,Quixel Megascans,0.00,Free core,Before facade polish,"damage decal"
10,FAB_P1B_015,Wall Paint,cfdcd26b-db70-413c-aa5c-e71ca8e43a7a,Quixel Megascans,0.00,Free core,Before materials,"smooth plaster base"
11,FAB_P1B_016,Stucco Wall,e2f69285-c695-4aa8-851c-1b6492b79b74,Quixel Megascans,0.00,Free core,Before materials,"rough exterior plaster"
12,FAB_P1B_017,Flaked Paint Wall,42731ac6-bc7e-4855-9c91-b1b73e2cc0fc,Quixel Megascans,0.00,Free secondary,Before facade polish,"localized weathered facade"
13,FAB_P1B_011,Asphalt Fresh,d656c99c-e792-4880-b832-7835dd450395,Quixel Megascans,0.00,Free core,Before ground materials,"road base"
14,FAB_P1B_012,Crushed Asphalt Ground,88e41c55-6675-4872-ab19-e5757899e549,Quixel Megascans,0.00,Free core,Before ground materials,"worn road; industrial ground"
15,FAB_P1B_013,Cracked Asphalt,3aab93f6-c82b-45c8-883f-04bec06d6915,Quixel Megascans,0.00,Free secondary,Before ground polish,"masked road breakup"
