stage_order,source_record_id,listing_name,staging_group,production_destination,selection_limit,inspection_focus,explicit_exclusions,status
1,FAB_P0_001,Military Trench Megascans Sample,PACK_Military,/Game/Maps/Sunscar/Art/Props/Tactical,Selected dependencies for 2 sandbags plus any approved barrier/support pieces,"Internal paths; bounds; collisions; material dependencies; UE 5.8 compatibility","Sample map; lighting; cameras; unrelated environment pieces",Pending staging
2,FAB_P0_002,City Sample Vehicles,PACK_Vehicles,/Game/Maps/Sunscar/Art/Vehicles,4-6 static vehicle render meshes plus required materials,"Static render mesh path; bounds; pivot; Nanite; material and texture dependency size","Traffic systems; Chaos driving; Mass AI; Blueprints; maps; audio; VFX",Pending staging
3,FAB_P1A_001,Junkyard,PACK_Junkyard,/Game/Maps/Sunscar/Art/Industrial,Maximum 20 selected salvage/repair assets,"UE 5.8 load; FBX alternative; bounds; pivots; duplicate materials; collision","Complete example scene; lighting; cameras; post process; unused 96-asset remainder",Pending staging
4,FAB_P0_003,Military Trenches Barrier Sandbag Canvas Worn,Tactical,/Game/Maps/Sunscar/Art/Props/Tactical,1 mesh plus direct materials/textures,"Confirm 321 x 39 x 87 cm orientation; simple collision proxy","Source collision if complex; unused resolutions",Pending staging
5,FAB_P0_004,Military Trenches Barrier Sandbag Canvas Square 02,Tactical,/Game/Maps/Sunscar/Art/Props/Tactical,1 mesh plus direct materials/textures,"Confirm 177 x 102 x 55 cm orientation; low-cover behavior","Source collision if complex; unused resolutions",Pending staging
6,FAB_P0_005,Military Trenches Wall Metal Corrugated 06,Architecture,/Game/Maps/Sunscar/Art/Architecture/Modular,1 mesh plus direct materials/textures,"Confirm 219 x 39 x 154 cm orientation; tiling and panel seams","Unrelated trench pieces",Pending staging
7,FAB_P0_020,Military Trenches Storage Box Wood S,Dressing,/Game/Maps/Sunscar/Art/Props/Dressing,1 mesh plus direct materials/textures,"Confirm 26 x 25 x 13 cm; pivot; no-collision use","Tactical collision; unused high-resolution source",Pending staging
8,FAB_P0_010,Weathered Concrete Wall,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set plus optional archival source,"Channel packing; physical scale; color range; displacement exclusion","Runtime 4K/8K duplicates unless later approved",Pending staging
9,FAB_P0_011,Damaged Plaster Patch,Decals,/Game/Maps/Sunscar/Art/Materials/Decals,One 2K decal texture set,"Opacity; projection orientation; edge quality; color neutrality","Geometry; collision; unnecessary resolution tiers",Pending staging
10,FAB_P1B_015,Wall Paint,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"0.41 m physical scale; repetition; tint response","Runtime source above 2K unless approved",Pending staging
11,FAB_P1B_016,Stucco Wall,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m physical scale; neutral albedo; normal intensity","Runtime source above 2K unless approved",Pending staging
12,FAB_P1B_017,Flaked Paint Wall,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m physical scale; maskability; patch boundaries","Full-facade automatic coverage",Pending staging
13,FAB_P1B_011,Asphalt Fresh,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; dust tint; blending with crushed asphalt","Wet or reflective variants",Pending staging
14,FAB_P1B_012,Crushed Asphalt Ground,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; roughness; edge blend with sand/hardpan","Displacement affecting collision",Pending staging
15,FAB_P1B_013,Cracked Asphalt,Materials,/Game/Maps/Sunscar/Art/Materials/Source,One 2K runtime texture set,"2 m scale; masked-patch suitability; visible repetition","Uniform whole-road application",Pending staging
16,FAB_P1B_014,Asphalt Debris Pack,Debris,/Game/Maps/Sunscar/Art/Nature/Debris,One approved debris family,"Bounds; pivot; LOD/Nanite cost; no-collision placement","Dense center-path scatter; unused variants",Pending staging
