id,priority,publisher,source_type,candidate,planned_use,primary_zones,target_count,acquisition_state,price_license_check,url,notes
PACK_001,P0,Quixel Megascans,Sample project,Military Trench Megascans Sample,"Sandbags; barriers; corrugated walls; planks; stakes; defensive props","A; C; E",6,Not acquired,Free listing observed 2026-07-24,https://www.fab.com/listings/f18c343f-b771-47b0-a02a-129771fd9804,"Use staging project; migrate selected art only"
PACK_002,P0,Epic Games,Content pack,City Sample Vehicles,"Static pickup; SUV or sedan; van or small truck","F; spawn edges",4,Not acquired,Free UE-only listing observed 2026-07-24,https://www.fab.com/listings/2909157b-ddfa-4cef-a925-69dc2467021f,"Do not migrate driving traffic Mass AI or Chaos systems"
TECH_001,P2,Epic Games,Reference sample,Electric Dreams Environment,"Reference PCG graphs and deterministic assembly techniques","All zones",0,Reference only,Free UE-only listing observed 2026-07-24,https://www.fab.com/listings/d79688f5-29be-4fb2-a650-2d4a813f5306,"Do not migrate jungle art or complete sample"
SURF_001,P0,Quixel Megascans,Surface family,Rough weathered plaster,"Dominant civic and residential wall surface","B; C; D",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?listing_types=material,"Select one warm tan and one pale gray variant"
SURF_002,P0,Quixel Megascans,Surface family,Historic Pakistan Street wall plaster or brick,"Aged wall faces and damaged masonry reveals","A; B; D",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=Pakistan,"Avoid highly ornate coverage across entire town"
SURF_003,P0,Quixel Megascans,Surface family,Historic Desert Ruin brick and stone,"Historic walls foundations and courtyard accents","A; B; C",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"Stone is an accent rather than the dominant town material"
SURF_004,P0,Quixel Megascans,Surface family,Worn or cracked concrete,"Canal civic stairs pads and industrial ground","B; C; F; G",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?listing_types=material,"Choose one pale and one stained variant"
SURF_005,P1,Quixel Megascans,Surface family,Packed dirt or hardpan,"Street shoulders yards and spawn edges","All exterior zones",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?listing_types=material,"Must blend with existing landscape"
SURF_006,P0,Quixel Megascans,Surface family,Coarse dry sand or silt,"Dry canal bed and accumulated courtyard dirt","G; B",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"Historic Desert Ruin Floor Sand Coarse is a candidate"
SURF_007,P1,Quixel Megascans,Surface family,Dusty industrial brick,"Freight depot telecom and substation walls","F; E",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?listing_types=material,"Use below plaster or in repair zones"
SURF_008,P1,Quixel Megascans,Surface family,Faded asphalt or compacted road,"Motor pool plaza and insertion road treatment","F; B; spawn edges",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?listing_types=material,"Do not make Old Town read as a modern city"
ARCH_001,P0,Quixel Megascans,Modular mesh family,Historic Desert Ruin Wall Modular Set,"Historic perimeter and selected compound walls","A; C; G",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"Select straight and damaged/corner variants"
ARCH_002,P0,Quixel Megascans,Modular mesh family,Historic Desert Ruin Arch,"North gate courtyard edge and landmark entry","A; B",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"Check pawn and weapon clearance"
ARCH_003,P0,Quixel Megascans,Modular mesh family,Historic Desert Ruin Stair,"Selected exterior stair or damaged architectural transition","A; B",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"Keep hidden simple collision until traversal verified"
ARCH_004,P0,Quixel Megascans,Landmark mesh family,Historic Desert Ruin Tower Modular Set,"Water tower base or north landmark silhouette accents","A; C",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/listings/ce5b8151-15ff-442f-9087-6de9e3b5e38f,"Do not replace the functional water-tower platform blindly"
ARCH_005,P1,Quixel Megascans,Landmark mesh family,Historic Desert Ruin Roof or Dome,"Single heritage accent visible above roofs","B or D",1,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=relic,"One restrained use only"
ARCH_006,P0,Quixel Megascans,Modular mesh family,Historic Pakistan Street wall and doorway modules,"Hotel clinic detention and tea-house facade accents","A; B; D",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=Pakistan,"Prefer plain damaged modules over ornate facades"
ARCH_007,P0,Quixel Megascans,Modular mesh family,Historic Pakistan Street window modules,"Civic and residential window readability","B; C; D",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=Pakistan,"Choose compatible widths matching graybox openings"
ARCH_008,P1,Quixel Megascans,Modular mesh family,Residential South Asian wood doors and frames,"Tea House consulate and residential details","C; D",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=South,"Restrained use avoids a regionally inconsistent look"
ARCH_009,P1,Quixel Megascans,Modular mesh family,Urban Shanty Town corrugated sheet,"Bazaar roof salvage fence and patched structures","E; F",3,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?q=urban,"Opaque or masked Nanite compatibility must be checked"
PROP_001,P0,Quixel Megascans,Prop family,Military sandbag barriers,"Detention checkpoints and insertions","A; C; spawn edges",2,Research candidate,Included in or alongside free trench sample,https://www.fab.com/sellers/Quixel%20Megascans?is_free=1,"Placed manually because they affect cover"
PROP_002,P1,Quixel Megascans,Prop family,Military corrugated and wood defensive parts,"Checkpoint and bazaar construction","A; C; E",2,Research candidate,Included in or alongside free trench sample,https://www.fab.com/sellers/Quixel%20Megascans?is_free=1,"Avoid making the whole town look like a trench"
PROP_003,P0,Quixel Megascans,Prop family,Urban electrical boxes,"Pump substation telecom and hotel utility faces","B; E; F; G",2,Research candidate,Verify signed-in Fab entitlement,https://www.fab.com/sellers/Quixel%20Megascans?lang=en,"Can repeat with controlled variation"
