record_id,catalog_id,decision,listing_name,listing_id,publisher,url,price_snapshot_usd,price_evidence,listed_dimensions,mesh_type,formats,nanite_plan,assigned_sites,fit_status,verification_state,notes
FAB_P1A_001,PACK_004,Essential free source,Junkyard,a984aac1-d20f-4232-8ce8-212e1695aaf6,Quixel Megascans,https://www.fab.com/listings/a984aac1-d20f-4232-8ce8-212e1695aaf6,0.00,Free listing confirmed 2026-07-24,96-asset pack; individual dimensions vary,Mixed,"Unreal Engine; FBX",Per selected mesh,"SS_013; SS_014; SS_015; SS_016; SS_018",Excellent official salvage/industrial source; exact subset unresolved,Confirmed at pack level,"UE scene lists compatibility through 5.6; use raw FBX or staging migration and select only needed pieces"
FAB_P1A_002,PROP_003,Essential free selection,Electrical Box,70113afd-ffec-42ca-87eb-75b90e5b1962,Quixel Megascans,https://www.fab.com/listings/70113afd-ffec-42ca-87eb-75b90e5b1962,0.00,Free listing confirmed 2026-07-24,0.43 x 0.38 x 0.26 m,Closed mesh,"UEFN; FBX; GLTF; GLB; USDZ",Unnecessary or provisional yes,"SS_003; SS_005; SS_007; SS_018",Good small wall-mounted utility detail,Confirmed from listing,"Repeat at controlled intervals; use no collision unless reachable and protruding"
FAB_P1A_003,PROP_003,Essential free selection,Electric Box,ba988202-afd9-4a98-94d0-4c4b7644b51f,Quixel Megascans,https://www.fab.com/listings/ba988202-afd9-4a98-94d0-4c4b7644b51f,0.00,Free listing confirmed 2026-07-24,0.24 x 1.02 x 0.98 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes,"SS_003; SS_011; SS_016; SS_018",Good medium electrical enclosure if orientation matches listing preview,Confirmed from listing,"Verify which listed dimension is depth during file inspection"
FAB_P1A_004,PROP_003,Essential free selection,Electrical Cabinet,252bd8cb-2469-4e2f-9e39-5ddaf9324539,Quixel Megascans,https://www.fab.com/listings/252bd8cb-2469-4e2f-9e39-5ddaf9324539,0.00,Free listing confirmed 2026-07-24,0.87 x 2.62 x 1.39 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple box collision,"SS_003; SS_016",Good large equipment cabinet; potential incidental cover,Confirmed from listing,"Manual placement only because the 1.39-2.62 m extents can affect cover and movement"
FAB_P1A_005,PROP_004,Essential free selection,Round Drain Cover,16f36535-a188-4989-8d1c-5bb790290378,Quixel Megascans,https://www.fab.com/listings/16f36535-a188-4989-8d1c-5bb790290378,0.00,Free listing confirmed 2026-07-24,0.5 x 0.5 m scan area,Decal,"Texture set; GLTF",Not applicable,"SS_002; SS_003; SS_009; SS_016",Good ground utility accent,Confirmed from listing,"Use decal or thin mesh representation with no collision"
FAB_P1A_006,PROP_004,Optional paid upgrade,Urban Miscellaneous Pipe Drain Metal Weathered,2f29ce10-cbab-47da-b760-41c07c0435df,Quixel Megascans,https://www.fab.com/listings/2f29ce10-cbab-47da-b760-41c07c0435df,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.23 x 2.44 x 0.15 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes but unnecessary,"SS_003; SS_005; SS_018",Good 2.44 m vertical drainpipe fit,Confirmed except account price,"Optional only; free-first version can use simple map-owned cylinder/pipe geometry with an official metal material"
FAB_P1A_007,PROP_005,Reject as street pole; optional wall fixture,Urban Miscellaneous Lamp Street Metal Weathered,cbba2b4a-1740-4820-a287-157121e37476,Quixel Megascans,https://www.fab.com/listings/cbba2b4a-1740-4820-a287-157121e37476,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.33 x 1.70 x 0.30 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Unnecessary,"SS_003; SS_004; SS_011; SS_017",Too short for planned 4-7 m street pole; may work as wall fixture,Confirmed except account price,"Do not buy for the street-lamp role; Old Town can rely on daylight and a few simple official/map-owned fixtures"
FAB_P1A_008,PROP_003,Reject paid duplicate,Urban Miscellaneous Box Electrical Metal Large 01,a5eddf84-25c2-40e2-a665-ab06e890a5aa,Quixel Megascans,https://www.fab.com/listings/a5eddf84-25c2-40e2-a665-ab06e890a5aa,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,1.71 x 2.75 x 1.48 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple collision,"SS_016",Dimensionally useful but redundant with free Electrical Cabinet,Confirmed except account price,"Use the free cabinet first; reconsider only if visual comparison proves a unique need"
FAB_P1A_009,PROP_003,Reject paid duplicate,Urban Miscellaneous Box Electrical Metal Weathered 01,e888adb8-037d-49e7-80f9-1863260f1c7d,Quixel Megascans,https://www.fab.com/listings/e888adb8-037d-49e7-80f9-1863260f1c7d,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,0.33 x 1.26 x 0.24 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes,"SS_003; SS_018",Good wall enclosure but redundant with two free electrical boxes,Confirmed except account price,"Reject for first round unless free candidates fail visual review"
FAB_P1A_010,PROP_007,Reject paid duplicate,Urban Race Track Tires Rubber Painted,cf3dffcf-4b55-49b4-af55-3c96357035cf,Quixel Megascans,https://www.fab.com/listings/cf3dffcf-4b55-49b4-af55-3c96357035cf,4.99,Public Quixel seller price observed 2026-07-24; account confirmation required,1.44 x 2.94 x 1.00 m,Closed mesh,"FBX; GLTF; GLB; USDZ",Provisional yes; simple collision,"SS_014; SS_015",Useful tire cluster but likely covered by free Junkyard pack,Confirmed except account price,"Inspect Junkyard pack first; avoid race-track paint if it conflicts with Sunscar palette"
