priority,record_id,asset,source_path,source_format,verified_source,destination_root,initial_import_policy,nanite_initial,collision_initial,runtime_texture_policy,required_staging_checks
P0,ABV_ASSET_001,Field Poppy,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Field_Poppy-66cb2706/fbx/high,High FBX plus 4K textures,yes,/Game/Maps/Sunscar/Art/Heritage/Foliage/FieldPoppy,"Import representative LOD0-LOD3 variants and required opacity material inputs; do not place in production map until scale audit",off,off,"BaseColor Normal Roughness AO Opacity; cap runtime resolution after profiling","bounds;pivot;player-scale;LOD transitions;masked overdraw;wind cost"
P0,ABV_ASSET_002,Wild Grass,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Wild_Grass-50d9a417/fbx/high,High FBX plus 4K textures,yes,/Game/Maps/Sunscar/Art/Heritage/Foliage/WildGrass,"Import representative LOD0-LOD3 variants and required opacity material inputs; do not place in production map until scale audit",off,off,"BaseColor Normal Roughness AO Opacity; cap runtime resolution after profiling","bounds;pivot;player-scale;LOD transitions;masked overdraw;wind cost"
P0,ABV_ASSET_004,Wild Grass Ground,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Wild_Grass-1a4cd0a2/texture-set,4K texture set,yes,/Game/Maps/Sunscar/Art/Heritage/Surfaces/WildGrassGround,"Import only PBR inputs required by the shared landscape master; create map-owned material instance",n/a,n/a,"BaseColor Normal Roughness AO; no Gloss Specular Bump Cavity; Displacement off initially","physical scale;channel assignment;macro variation;distance tiling;VT compatibility"
P0,ABV_ASSET_005,Dry Trampled Soil,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Dry_Trampled_Soil-e9c8521d/texture-set,4K texture set,yes,/Game/Maps/Sunscar/Art/Heritage/Surfaces/DryTrampledSoil,"Import only PBR inputs required by the shared landscape master; create map-owned material instance",n/a,n/a,"BaseColor Normal Roughness AO; no Gloss Specular Bump Cavity; Displacement off initially","physical scale;channel assignment;color match;route readability;VT compatibility"
P0,ABV_ASSET_006,Cracked Mud Wall,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Cracked_Mud_Wall-381158fe/texture-set,4K texture set,yes,/Game/Maps/Sunscar/Art/Heritage/Surfaces/CrackedMudWall,"Import only PBR inputs required by the shared masonry master; create map-owned material instance",n/a,n/a,"BaseColor Normal Roughness AO; no Gloss Specular Bump Cavity; Displacement off initially","physical scale;channel assignment;world-aligned blend;macro variation;2K versus 4K runtime test"
P0,ABV_ASSET_008,Historic Desert Ruin Wall Brick 03,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Historic_Desert_Ruin_Wall_Brick_03-9d643c9c/texture-set,4K texture set,yes,/Game/Maps/Sunscar/Art/Heritage/Surfaces/RuinWallBrick03,"Import only PBR inputs required by the shared masonry master; create accent material instance",n/a,n/a,"BaseColor Normal Roughness AO; no Gloss Specular Bump Cavity; Displacement off initially","physical scale;channel assignment;color match;blend transition;2K versus 4K runtime test"
P0,ABV_ASSET_009,Historic Desert Ruin Arch Stone Carved 08,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Historic_Desert_Ruin_Arch_Stone_Carved_08-8b6404bf/fbx/high,High FBX plus 4K textures,yes,/Game/Maps/Sunscar/Art/Heritage/Architecture/ArchStoneCarved08,"Import one source mesh and required PBR inputs into staging; preserve map-owned collision authority",on,simple,"BaseColor Normal Roughness AO; omit Gloss Specular Bump Cavity; Displacement only after measured need","bounds;pivot;1.02x2.9x4.3m reference;material slots;Nanite visualization;simple collision;portal composition"
P0,ABV_ASSET_010,Historic Desert Ruin Wall Modular Set 04,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Historic_Desert_Ruin_Wall_Modular_Set_04-038f4719/fbx/high,High FBX plus 4K textures,yes,/Game/Maps/Sunscar/Art/Heritage/Architecture/WallModularSet04,"Import one source mesh and required PBR inputs into staging; use map-owned instances for placement",on,simple,"BaseColor Normal Roughness AO; omit Gloss Specular Bump Cavity; Displacement only after measured need","bounds;pivot;3.23x3.26x0.7m reference;material slots;Nanite visualization;simple collision;burial depth"
P0,ABV_ASSET_011,Historic Desert Ruin Structure Stone S 06,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Historic_Desert_Ruin_Structure_Stone_S_06-0db909ab/fbx/high,High FBX plus 4K textures,yes,/Game/Maps/Sunscar/Art/Heritage/Architecture/StructureStoneS06,"Import one source mesh and required PBR inputs into staging; use map-owned instances for placement",on,simple,"BaseColor Normal Roughness AO; omit Gloss Specular Bump Cavity; Displacement only after measured need","bounds;pivot;0.34x1.44x0.4m reference;material slots;Nanite visualization;simple collision;opening composition"
P0,ABV_ASSET_012,Historic Pakistan Street Wall Brick White 01,/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Historic_Pakistan_Street_Wall_Brick_White_01-f372a8f7/texture-set,4K texture set,yes,/Game/Maps/Sunscar/Art/Heritage/Surfaces/BrickWhite01,"Import only PBR inputs required by the shared masonry master; create limited accent material instance",n/a,n/a,"BaseColor Normal Roughness AO; no Gloss Specular Bump Cavity; Displacement off initially","physical scale;channel assignment;color match;5-12 percent coverage limit;2K versus 4K runtime test"
