module_id,unreal_asset_name,category,width_m,depth_m,height_m,variants,collision,nanite,primary_sites,construction_notes
MOD_WALL_01,SM_OT_Wall_Plain_2x32,Wall,2.0,0.25,3.2,3,"Simple box",No,"SS_003; SS_004; SS_011; SS_015; SS_018","Primary one-story structural skin; material slots for base plaster and damage overlay"
MOD_WALL_02,SM_OT_Wall_Plain_4x32,Wall,4.0,0.25,3.2,3,"Simple box",No,"All building sites","Primary long facade unit; preserve graybox footprint exactly"
MOD_WALL_03,SM_OT_Wall_Plain_2x64,Wall,2.0,0.25,6.4,2,"Simple box",No,"SS_005; SS_007; SS_010; SS_011; SS_012; SS_018","Two-story infill only where the graybox already supports the height"
MOD_WALL_04,SM_OT_Wall_Plain_4x64,Wall,4.0,0.25,6.4,2,"Simple box",No,"SS_005; SS_007; SS_010; SS_011; SS_012; SS_018","Two-story long facade unit"
MOD_OPEN_01,SM_OT_Wall_Door_12x24,Opening wall,2.0,0.25,3.2,2,"Simple boxes around opening",No,"SS_003; SS_004; SS_011; SS_015; SS_018","Clear opening 1.2 x 2.4 m; art leaf is separate"
MOD_OPEN_02,SM_OT_Wall_Door_15x24,Opening wall,2.5,0.25,3.2,2,"Simple boxes around opening",No,"SS_004; SS_012; SS_017","Clear opening 1.5 x 2.4 m"
MOD_OPEN_03,SM_OT_Wall_Window_15x13,Opening wall,2.5,0.25,3.2,3,"Simple boxes around opening",No,"All building sites","Clear opening 1.5 x 1.3 m; default sill 1.0 m"
MOD_OPEN_04,SM_OT_Wall_Window_18x15,Opening wall,3.0,0.25,3.2,2,"Simple boxes around opening",No,"SS_005; SS_007; SS_010; SS_012","Clear opening 1.8 x 1.5 m; default sill 0.9 m"
MOD_DOOR_01,SM_OT_DoorLeaf_12x24,Door,1.18,0.06,2.38,3,"Separate simple box or interaction proxy",No,"All pedestrian openings","Map-owned fallback and gameplay proxy; official scan may skin the visible leaf"
MOD_WIN_01,SM_OT_WindowFrame_15x13,Window,1.5,0.12,1.3,3,"No collision or thin box",No,"All building sites","Four-piece frame with separate glass and shutter sockets"
MOD_WIN_02,SM_OT_WindowFrame_18x15,Window,1.8,0.12,1.5,2,"No collision or thin box",No,"SS_005; SS_007; SS_010; SS_012","Larger civic frame"
MOD_WIN_03,SM_OT_Shutter_075x13,Window,0.72,0.05,1.3,3,"No collision",No,"SS_003; SS_004; SS_011; SS_012; SS_017","Use galvanized or painted wood material; fixed open/closed variants"
MOD_ROOF_01,SM_OT_Parapet_2x08,Roof,2.0,0.25,0.8,3,"Simple box",No,"All flat-roof buildings","Repeat without changing existing roof access or sightline"
MOD_ROOF_02,SM_OT_Parapet_4x08,Roof,4.0,0.25,0.8,3,"Simple box",No,"All flat-roof buildings","Long parapet module"
MOD_ROOF_03,SM_OT_RoofVent_BoxS,Roof equipment,0.6,0.6,0.45,3,"Simple box",No,"SS_003; SS_013; SS_015; SS_018","Non-traversable visual equipment; no mantle chain"
MOD_ROOF_04,SM_OT_RoofVent_BoxM,Roof equipment,1.0,0.8,0.7,3,"Simple box",No,"SS_013; SS_015; SS_018","Keep at least 1.5 m from climbable roof edges"
MOD_ROOF_05,SM_OT_Antenna_Mast,Roof equipment,0.12,0.12,2.5,3,"No collision or narrow capsule",No,"SS_018","Silhouette only; use guy-wire decals or thin geometry sparingly"
MOD_BAZ_01,SM_OT_BazaarStall_2x2,Bazaar,2.0,2.0,2.4,4,"Simple boxes",No,"SS_017","Counter and rear panel separate; preserve central passage"
MOD_BAZ_02,SM_OT_BazaarStall_3x25,Bazaar,3.0,2.5,2.6,4,"Simple boxes",No,"SS_017","Large stall for edge positions only"
