candidate_id,site_id,site_name,bom_id,class,asset_role,planned_asset_ref,source_state,cluster_id,x_m,y_m,z_resolution,yaw_deg,scale,band,placement_policy,resolution_status,collision,nanite,hard_rule,ue_required
SS_001_ARCHITECTURE_001,SS_001,Attacker Spawn and Extraction,OT_ARCH_004,architecture,Fence bases panels and gates,map-owned://MOD_GATE_01,map_owned_definition,SS_001_ARCHITECTURE_C01,-138.207,-99.627,socket_or_trace_in_ue,90.26,1,west_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple box,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_ARCHITECTURE_002,SS_001,Attacker Spawn and Extraction,OT_ARCH_004,architecture,Fence bases panels and gates,map-owned://MOD_FENCE_01,map_owned_definition,SS_001_ARCHITECTURE_C01,-134.751,-105.754,socket_or_trace_in_ue,359.55,1,south_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple box,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_ARCHITECTURE_003,SS_001,Attacker Spawn and Extraction,OT_ARCH_004,architecture,Fence bases panels and gates,map-owned://MOD_GATE_01,map_owned_definition,SS_001_ARCHITECTURE_C01,-121.752,-106.851,socket_or_trace_in_ue,0.27,1,south_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple box,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_ARCHITECTURE_004,SS_001,Attacker Spawn and Extraction,OT_ARCH_004,architecture,Fence bases panels and gates,map-owned://MOD_FENCE_01,map_owned_definition,SS_001_ARCHITECTURE_C01,-120.926,-105.933,socket_or_trace_in_ue,270.82,1,east_edge,socket_or_manual,asset_candidate_resolved_transform_still_candidate,Simple box,No,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_001,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C01,-138.063,-105.707,terrain_trace_in_ue,95.94,0.9595,west_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_002,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C01,-130.697,-105.89,terrain_trace_in_ue,9.78,0.9713,south_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_003,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C01,-138.727,-92.795,terrain_trace_in_ue,81,1.0456,west_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_004,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C02,-123.506,-91.884,terrain_trace_in_ue,188.15,1.0341,north_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_005,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C02,-121.638,-101.219,terrain_trace_in_ue,265.83,0.9526,east_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
SS_001_TACTICAL_006,SS_001,Attacker Spawn and Extraction,OT_TAC_001,tactical,Sandbag long barrier,project:///Game/Maps/Sunscar/Art/Quixel/Sandbags/SM_ydxlcck_tier_2/StaticMeshes/SM_ydxlcck_tier_2,existing_project_asset,SS_001_TACTICAL_C02,-128.998,-106.428,terrain_trace_in_ue,9.17,0.9801,south_edge,manual_only,asset_candidate_resolved_transform_still_candidate,Custom simple,Provisional,Keep spawn envelope and first movement path clear,"Resolve terrain/facade Z, pivot, bounds, dependencies, collision and final visual acceptance"
