batch_id,priority,source_records,content_scope,estimated_unique_meshes,acquisition_action,staging_acceptance,dependency_rule,unreal_destination
B00,P0,"MOD_*; existing blockout assets","Map-owned gameplay-safe modules",45,None,"Confirm modules exist or create only from existing project primitives when authorized","No external dependency","/Game/Maps/OldTown/Art/MapOwned"
B01,P0,"FAB_P0_010; FAB_P0_011; FAB_P1B_011-017","Concrete plaster asphalt damage and facade materials",9,"Acquire free exact listings","2K runtime instances; correct scale; no duplicate masters","Import material dependencies only","/Game/Maps/OldTown/Art/Materials"
B02,P0,"FAB_P0_001; FAB_P0_003-005; FAB_P0_020","Military Trench sample and exact defensive scans",12,"Acquire free exact listings/sample","Record selected paths bounds pivots collision and Nanite; reject unplanned sample content","Migrate selected art only","/Game/Maps/OldTown/Art/Defensive"
B03,P0,"FAB_P1A_002-005; FAB_P0_021","Electrical boxes cabinet drain and secondary tank",6,"Acquire free exact listings","Confirm orientation and dimensions; create simple collision only where needed","No paid drainpipe","/Game/Maps/OldTown/Art/Utilities"
B04,P0,"FAB_P1A_011-017; FAB_P1B_014","Rubble rocks debris and dry plants",16,"Acquire missing free listings","No gameplay collision on scatter assets; masked materials validated","Existing imported assets reused","/Game/Maps/OldTown/Art/Nature"
B05,P1,"FAB_P1B_001; FAB_P1B_004-010","Door garage panel tarps stool table and bench",9,"Acquire free exact listings","Fit verified openings; shade opacity and furniture collision checked","Map-owned modules remain fallback","/Game/Maps/OldTown/Art/Domestic"
B06,P0,"FAB_P1A_001","Junkyard 96-asset pack",24,"Acquire free pack","Select only planned tires pallets crates scrap tools barrels and industrial clutter; record paths and bounds","FBX allowed if UE scene is not 5.8 clean","/Game/Maps/OldTown/Art/Junkyard"
B07,P0,"FAB_P0_002","City Sample Vehicles 13-vehicle pack",4,"Acquire free Epic pack","Select static pickup van sedan and SUV render meshes; simple collision; no gameplay systems","Exclude Mass AI traffic Chaos and driveability","/Game/Maps/OldTown/Art/Vehicles"
B08,P2,"FAB_P0_006-009; FAB_P0_012-015; FAB_P1A_006; FAB_P1B_007","Deferred paid visual upgrades",8,"Do not acquire without separate approval","Only if free/map-owned fallback fails a documented visual or scale requirement","No purchase or entitlement assumption","/Game/Maps/OldTown/Art/OptionalPaid"
B09,P1,"FAB_SUP_001-003","Rust mud and oil stain decals",3,"Acquire free exact listings","Create 2K projection materials and verify opacity orientation","No unidentified third-party content","/Game/Maps/OldTown/Art/Secondary"
