priority,asset_ref,source_state,planned_instances,sites,bom_ids,classes,action,required_checks
P0_connected_slice,source://FAB_P1A_002/electrical_box_tdgecegda_high,downloaded_source_import_pending,20,SS_003;SS_005;SS_007;SS_011;SS_013;SS_015;SS_016;SS_018,OT_UTIL_001,utility,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1A_012/military_trenches_debris_patch_rock_corner_ydyqbjds_high,downloaded_source_import_pending,58,SS_003;SS_005;SS_007,OT_GROUND_002,ground,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1A_015/dry_grass_tbbqejqr_high,downloaded_source_import_pending,37,SS_001;SS_002;SS_003;SS_004;SS_005;SS_006;SS_007;SS_008;SS_009,OT_VEG_001,vegetation,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1A_016/dried_grass_xbrgaba_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Ground underlay beneath sparse dry-grass meshes; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1A_017/desert_debris_pblacidh2_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Material atlas for map-owned low-profile debris cards; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1B_001/old_wooden_door_wbmgdcpdw_high,downloaded_source_import_pending,25,SS_010;SS_011;SS_012;SS_013;SS_015,OT_ARCH_002,architecture,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1B_004/garage_door_tmnobhhya_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Garage and shutter material source; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1B_008/old_metal_stool_ukknbeyaw_high,downloaded_source_import_pending,16,SS_004;SS_017,OT_FURN_002,furniture,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1B_009/wooden_table_veigfjmaw_high,downloaded_source_import_pending,12,SS_004;SS_005;SS_017,OT_FURN_001,furniture,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1B_010/wooden_bench_vlroadt_high,downloaded_source_import_pending,10,SS_004;SS_008;SS_012;SS_017,OT_FURN_003,furniture,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1B_011/asphalt_fresh_sfrofg0a_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Road-base material source; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1B_014/asphalt_debris_pack_tlhjacuva_high,downloaded_source_import_pending,134,SS_001;SS_002;SS_008;SS_009;SS_014;SS_015;SS_020,OT_DECAL_003;OT_GROUND_003,decal;ground,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P0_connected_slice,source://FAB_P1B_015/wall_paint_qj2luvs0_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Facade source for shared Old Town material instances; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1B_016/stucco_wall_vigrejf_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Facade source for shared Old Town material instances; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_P1B_017/flaked_paint_wall_vhqkeff_4k,downloaded_source_import_pending,material_or_dependency,connected_visual_slice,NON_INSTANCE_DEPENDENCY,material_or_support,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Localized facade weathering source; physical scale; channel packing; rendered result; dependency scope
P0_connected_slice,source://FAB_SUP_001/military_trenches_decal_metal_rust_01_ydzmbgd_4k,downloaded_source_import_pending,54,SS_011;SS_013;SS_015;SS_017,OT_DECAL_002,decal,Import exact downloaded archive source into clean UE 5.8 staging; then migrate accepted asset,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
