row,column,latitude,longitude,elevation_m
0,0,37.46,59.43,255
0,1,37.46,59.439,257
0,2,37.46,59.448,256
0,3,37.46,59.457,258
0,4,37.46,59.466,255
0,5,37.46,59.475,252
0,6,37.46,59.484,252
0,7,37.46,59.493,252
0,8,37.46,59.502,250
0,9,37.46,59.511,243
0,10,37.46,59.52,244
0,11,37.46,59.529,241
0,12,37.46,59.538,238
0,13,37.46,59.547,234
0,14,37.46,59.556,233
0,15,37.46,59.565,230
0,16,37.46,59.574,229
0,17,37.46,59.583,229
0,18,37.46,59.592,227
0,19,37.46,59.601,226
0,20,37.46,59.61,224
0,21,37.46,59.619,223
0,22,37.46,59.628,220
0,23,37.46,59.637,219
0,24,37.46,59.646,215
0,25,37.46,59.655,215
0,26,37.46,59.664,216
0,27,37.46,59.673,213
0,28,37.46,59.682,211
0,29,37.46,59.691,211
0,30,37.46,59.7,209
1,0,37.451333,59.43,267
1,1,37.451333,59.439,272
1,2,37.451333,59.448,270
1,3,37.451333,59.457,265
1,4,37.451333,59.466,261
1,5,37.451333,59.475,259
1,6,37.451333,59.484,258
1,7,37.451333,59.493,259
1,8,37.451333,59.502,253
1,9,37.451333,59.511,248
1,10,37.451333,59.52,244
1,11,37.451333,59.529,242
1,12,37.451333,59.538,240
1,13,37.451333,59.547,239
1,14,37.451333,59.556,236
1,15,37.451333,59.565,235
1,16,37.451333,59.574,233
1,17,37.451333,59.583,233
1,18,37.451333,59.592,230
1,19,37.451333,59.601,229
1,20,37.451333,59.61,227
1,21,37.451333,59.619,225
1,22,37.451333,59.628,223
1,23,37.451333,59.637,221
1,24,37.451333,59.646,219
1,25,37.451333,59.655,218
1,26,37.451333,59.664,217
1,27,37.451333,59.673,215
1,28,37.451333,59.682,214
1,29,37.451333,59.691,213
1,30,37.451333,59.7,208
2,0,37.442667,59.43,281
2,1,37.442667,59.439,280
2,2,37.442667,59.448,279
2,3,37.442667,59.457,271
2,4,37.442667,59.466,273
2,5,37.442667,59.475,269
2,6,37.442667,59.484,265
2,7,37.442667,59.493,264
2,8,37.442667,59.502,258
2,9,37.442667,59.511,254
2,10,37.442667,59.52,248
2,11,37.442667,59.529,247
2,12,37.442667,59.538,244
2,13,37.442667,59.547,244
2,14,37.442667,59.556,242
2,15,37.442667,59.565,241
2,16,37.442667,59.574,240
2,17,37.442667,59.583,237
2,18,37.442667,59.592,233
2,19,37.442667,59.601,231
2,20,37.442667,59.61,231
2,21,37.442667,59.619,229
2,22,37.442667,59.628,227
2,23,37.442667,59.637,224
2,24,37.442667,59.646,223
2,25,37.442667,59.655,222
2,26,37.442667,59.664,221
2,27,37.442667,59.673,217
2,28,37.442667,59.682,216
2,29,37.442667,59.691,214
2,30,37.442667,59.7,210
3,0,37.434,59.43,294
3,1,37.434,59.439,292
3,2,37.434,59.448,290
3,3,37.434,59.457,287
3,4,37.434,59.466,283
3,5,37.434,59.475,277
3,6,37.434,59.484,277
3,7,37.434,59.493,274
3,8,37.434,59.502,263
3,9,37.434,59.511,260
3,10,37.434,59.52,253
3,11,37.434,59.529,254
3,12,37.434,59.538,249
3,13,37.434,59.547,249
3,14,37.434,59.556,250
3,15,37.434,59.565,245
3,16,37.434,59.574,246
3,17,37.434,59.583,241
3,18,37.434,59.592,239
3,19,37.434,59.601,234
3,20,37.434,59.61,232
3,21,37.434,59.619,234
3,22,37.434,59.628,229
3,23,37.434,59.637,229
3,24,37.434,59.646,227
3,25,37.434,59.655,223
3,26,37.434,59.664,221
3,27,37.434,59.673,219
3,28,37.434,59.682,216
3,29,37.434,59.691,213
3,30,37.434,59.7,213
4,0,37.425333,59.43,303
4,1,37.425333,59.439,302
4,2,37.425333,59.448,300
4,3,37.425333,59.457,293
4,4,37.425333,59.466,293
4,5,37.425333,59.475,289
4,6,37.425333,59.484,285
4,7,37.425333,59.493,279
4,8,37.425333,59.502,272
4,9,37.425333,59.511,265
4,10,37.425333,59.52,260
4,11,37.425333,59.529,257
4,12,37.425333,59.538,255
4,13,37.425333,59.547,253
4,14,37.425333,59.556,257
4,15,37.425333,59.565,251
4,16,37.425333,59.574,246
4,17,37.425333,59.583,243
4,18,37.425333,59.592,244
4,19,37.425333,59.601,238
4,20,37.425333,59.61,236
4,21,37.425333,59.619,234
4,22,37.425333,59.628,233
4,23,37.425333,59.637,232
4,24,37.425333,59.646,229
4,25,37.425333,59.655,226
4,26,37.425333,59.664,224
4,27,37.425333,59.673,219
4,28,37.425333,59.682,220
4,29,37.425333,59.691,216
4,30,37.425333,59.7,214
5,0,37.416667,59.43,313
5,1,37.416667,59.439,313
5,2,37.416667,59.448,309
5,3,37.416667,59.457,307
5,4,37.416667,59.466,304
5,5,37.416667,59.475,300
5,6,37.416667,59.484,292
5,7,37.416667,59.493,286
5,8,37.416667,59.502,279
5,9,37.416667,59.511,271
5,10,37.416667,59.52,264
5,11,37.416667,59.529,260
5,12,37.416667,59.538,258
5,13,37.416667,59.547,258
5,14,37.416667,59.556,258
5,15,37.416667,59.565,255
5,16,37.416667,59.574,250
5,17,37.416667,59.583,250
5,18,37.416667,59.592,246
5,19,37.416667,59.601,244
5,20,37.416667,59.61,241
5,21,37.416667,59.619,240
5,22,37.416667,59.628,237
5,23,37.416667,59.637,233
5,24,37.416667,59.646,231
5,25,37.416667,59.655,229
5,26,37.416667,59.664,228
5,27,37.416667,59.673,226
5,28,37.416667,59.682,226
5,29,37.416667,59.691,220
5,30,37.416667,59.7,218
6,0,37.408,59.43,326
6,1,37.408,59.439,324
6,2,37.408,59.448,322
6,3,37.408,59.457,319
6,4,37.408,59.466,314
6,5,37.408,59.475,309
6,6,37.408,59.484,301
6,7,37.408,59.493,292
6,8,37.408,59.502,285
6,9,37.408,59.511,277
6,10,37.408,59.52,268
6,11,37.408,59.529,265
6,12,37.408,59.538,266
6,13,37.408,59.547,261
6,14,37.408,59.556,261
6,15,37.408,59.565,260
6,16,37.408,59.574,256
6,17,37.408,59.583,253
6,18,37.408,59.592,250
6,19,37.408,59.601,247
6,20,37.408,59.61,246
6,21,37.408,59.619,242
6,22,37.408,59.628,239
6,23,37.408,59.637,236
6,24,37.408,59.646,236
6,25,37.408,59.655,238
6,26,37.408,59.664,235
6,27,37.408,59.673,230
6,28,37.408,59.682,230
6,29,37.408,59.691,233
6,30,37.408,59.7,225
7,0,37.399333,59.43,337
7,1,37.399333,59.439,335
7,2,37.399333,59.448,332
7,3,37.399333,59.457,329
7,4,37.399333,59.466,324
7,5,37.399333,59.475,316
7,6,37.399333,59.484,310
7,7,37.399333,59.493,298
7,8,37.399333,59.502,293
7,9,37.399333,59.511,284
7,10,37.399333,59.52,277
7,11,37.399333,59.529,270
7,12,37.399333,59.538,268
7,13,37.399333,59.547,263
7,14,37.399333,59.556,267
7,15,37.399333,59.565,265
7,16,37.399333,59.574,262
7,17,37.399333,59.583,259
7,18,37.399333,59.592,256
7,19,37.399333,59.601,253
7,20,37.399333,59.61,252
7,21,37.399333,59.619,245
7,22,37.399333,59.628,243
7,23,37.399333,59.637,241
7,24,37.399333,59.646,241
7,25,37.399333,59.655,242
7,26,37.399333,59.664,243
7,27,37.399333,59.673,237
7,28,37.399333,59.682,236
7,29,37.399333,59.691,239
7,30,37.399333,59.7,234
8,0,37.390667,59.43,348
8,1,37.390667,59.439,347
8,2,37.390667,59.448,342
8,3,37.390667,59.457,339
8,4,37.390667,59.466,331
8,5,37.390667,59.475,324
8,6,37.390667,59.484,316
8,7,37.390667,59.493,306
8,8,37.390667,59.502,298
8,9,37.390667,59.511,289
8,10,37.390667,59.52,280
8,11,37.390667,59.529,275
8,12,37.390667,59.538,275
8,13,37.390667,59.547,273
8,14,37.390667,59.556,274
8,15,37.390667,59.565,273
8,16,37.390667,59.574,266
8,17,37.390667,59.583,261
8,18,37.390667,59.592,262
8,19,37.390667,59.601,260
8,20,37.390667,59.61,254
8,21,37.390667,59.619,251
8,22,37.390667,59.628,251
8,23,37.390667,59.637,248
8,24,37.390667,59.646,247
8,25,37.390667,59.655,246
8,26,37.390667,59.664,249
8,27,37.390667,59.673,246
8,28,37.390667,59.682,242
8,29,37.390667,59.691,245
8,30,37.390667,59.7,242
9,0,37.382,59.43,363
9,1,37.382,59.439,360
9,2,37.382,59.448,352
9,3,37.382,59.457,346
9,4,37.382,59.466,337
9,5,37.382,59.475,330
9,6,37.382,59.484,323
9,7,37.382,59.493,312
9,8,37.382,59.502,303
9,9,37.382,59.511,293
9,10,37.382,59.52,284
9,11,37.382,59.529,280
9,12,37.382,59.538,279
9,13,37.382,59.547,279
9,14,37.382,59.556,280
9,15,37.382,59.565,274
9,16,37.382,59.574,271
9,17,37.382,59.583,271
9,18,37.382,59.592,269
9,19,37.382,59.601,265
9,20,37.382,59.61,262
9,21,37.382,59.619,258
9,22,37.382,59.628,259
9,23,37.382,59.637,256
9,24,37.382,59.646,253
9,25,37.382,59.655,253
9,26,37.382,59.664,254
9,27,37.382,59.673,251
9,28,37.382,59.682,248
9,29,37.382,59.691,248
9,30,37.382,59.7,245
10,0,37.373333,59.43,368
10,1,37.373333,59.439,368
10,2,37.373333,59.448,360
10,3,37.373333,59.457,353
10,4,37.373333,59.466,342
10,5,37.373333,59.475,332
10,6,37.373333,59.484,324
10,7,37.373333,59.493,314
10,8,37.373333,59.502,304
10,9,37.373333,59.511,293
10,10,37.373333,59.52,287
10,11,37.373333,59.529,288
10,12,37.373333,59.538,285
10,13,37.373333,59.547,285
10,14,37.373333,59.556,294
10,15,37.373333,59.565,284
10,16,37.373333,59.574,277
10,17,37.373333,59.583,273
10,18,37.373333,59.592,273
10,19,37.373333,59.601,270
10,20,37.373333,59.61,268
10,21,37.373333,59.619,263
10,22,37.373333,59.628,264
10,23,37.373333,59.637,261
10,24,37.373333,59.646,259
10,25,37.373333,59.655,260
10,26,37.373333,59.664,260
10,27,37.373333,59.673,256
10,28,37.373333,59.682,255
10,29,37.373333,59.691,254
10,30,37.373333,59.7,249
11,0,37.364667,59.43,384
11,1,37.364667,59.439,377
11,2,37.364667,59.448,365
11,3,37.364667,59.457,355
11,4,37.364667,59.466,344
11,5,37.364667,59.475,333
11,6,37.364667,59.484,322
11,7,37.364667,59.493,313
11,8,37.364667,59.502,306
11,9,37.364667,59.511,304
11,10,37.364667,59.52,299
11,11,37.364667,59.529,294
11,12,37.364667,59.538,294
11,13,37.364667,59.547,293
11,14,37.364667,59.556,287
11,15,37.364667,59.565,286
11,16,37.364667,59.574,282
11,17,37.364667,59.583,278
11,18,37.364667,59.592,279
11,19,37.364667,59.601,276
11,20,37.364667,59.61,275
11,21,37.364667,59.619,274
11,22,37.364667,59.628,273
11,23,37.364667,59.637,271
11,24,37.364667,59.646,267
11,25,37.364667,59.655,266
11,26,37.364667,59.664,264
11,27,37.364667,59.673,262
11,28,37.364667,59.682,262
11,29,37.364667,59.691,266
11,30,37.364667,59.7,262
12,0,37.356,59.43,418
12,1,37.356,59.439,408
12,2,37.356,59.448,376
12,3,37.356,59.457,358
12,4,37.356,59.466,345
12,5,37.356,59.475,334
12,6,37.356,59.484,326
12,7,37.356,59.493,319
12,8,37.356,59.502,313
12,9,37.356,59.511,307
12,10,37.356,59.52,303
12,11,37.356,59.529,302
12,12,37.356,59.538,302
12,13,37.356,59.547,298
12,14,37.356,59.556,292
12,15,37.356,59.565,293
12,16,37.356,59.574,288
12,17,37.356,59.583,288
12,18,37.356,59.592,286
12,19,37.356,59.601,285
12,20,37.356,59.61,283
12,21,37.356,59.619,280
12,22,37.356,59.628,281
12,23,37.356,59.637,280
12,24,37.356,59.646,275
12,25,37.356,59.655,272
12,26,37.356,59.664,270
12,27,37.356,59.673,268
12,28,37.356,59.682,270
12,29,37.356,59.691,269
12,30,37.356,59.7,270
13,0,37.347333,59.43,433
13,1,37.347333,59.439,411
13,2,37.347333,59.448,388
13,3,37.347333,59.457,370
13,4,37.347333,59.466,352
13,5,37.347333,59.475,343
13,6,37.347333,59.484,336
13,7,37.347333,59.493,329
13,8,37.347333,59.502,322
13,9,37.347333,59.511,317
13,10,37.347333,59.52,317
13,11,37.347333,59.529,312
13,12,37.347333,59.538,307
13,13,37.347333,59.547,303
13,14,37.347333,59.556,298
13,15,37.347333,59.565,297
13,16,37.347333,59.574,295
13,17,37.347333,59.583,295
13,18,37.347333,59.592,293
13,19,37.347333,59.601,292
13,20,37.347333,59.61,292
13,21,37.347333,59.619,290
13,22,37.347333,59.628,291
13,23,37.347333,59.637,287
13,24,37.347333,59.646,282
13,25,37.347333,59.655,280
13,26,37.347333,59.664,288
13,27,37.347333,59.673,296
13,28,37.347333,59.682,285
13,29,37.347333,59.691,283
13,30,37.347333,59.7,280
14,0,37.338667,59.43,421
14,1,37.338667,59.439,412
14,2,37.338667,59.448,389
14,3,37.338667,59.457,373
14,4,37.338667,59.466,365
14,5,37.338667,59.475,358
14,6,37.338667,59.484,347
14,7,37.338667,59.493,336
14,8,37.338667,59.502,330
14,9,37.338667,59.511,325
14,10,37.338667,59.52,325
14,11,37.338667,59.529,319
14,12,37.338667,59.538,315
14,13,37.338667,59.547,310
14,14,37.338667,59.556,307
14,15,37.338667,59.565,308
14,16,37.338667,59.574,309
14,17,37.338667,59.583,307
14,18,37.338667,59.592,303
14,19,37.338667,59.601,298
14,20,37.338667,59.61,304
14,21,37.338667,59.619,298
14,22,37.338667,59.628,297
14,23,37.338667,59.637,295
14,24,37.338667,59.646,290
14,25,37.338667,59.655,288
14,26,37.338667,59.664,293
14,27,37.338667,59.673,316
14,28,37.338667,59.682,313
14,29,37.338667,59.691,312
14,30,37.338667,59.7,310
15,0,37.33,59.43,443
15,1,37.33,59.439,417
15,2,37.33,59.448,421
15,3,37.33,59.457,404
15,4,37.33,59.466,388
15,5,37.33,59.475,375
15,6,37.33,59.484,353
15,7,37.33,59.493,347
15,8,37.33,59.502,340
15,9,37.33,59.511,335
15,10,37.33,59.52,332
15,11,37.33,59.529,327
15,12,37.33,59.538,323
15,13,37.33,59.547,317
15,14,37.33,59.556,315
15,15,37.33,59.565,315
15,16,37.33,59.574,320
15,17,37.33,59.583,325
15,18,37.33,59.592,314
15,19,37.33,59.601,323
15,20,37.33,59.61,312
15,21,37.33,59.619,307
15,22,37.33,59.628,305
15,23,37.33,59.637,304
15,24,37.33,59.646,309
15,25,37.33,59.655,298
15,26,37.33,59.664,304
15,27,37.33,59.673,324
